GeneID,GSM2436514,GSM2436515,GSM2436516,GSM2436517,GSM2436518,GSM2436519,GSM2436520,GSM2436521,GSM2436522,GSM2436523
100287102,3,3,1,0,1,2,0,3,2,1
653635,42,65,45,36,28,41,25,60,40,26
102466751,0,1,1,0,0,0,0,0,0,1
107985730,0,0,0,0,0,0,0,0,0,0
100302278,0,0,0,0,0,0,0,0,0,0
645520,0,0,0,0,0,0,0,0,0,0
79501,0,0,1,0,0,0,0,0,0,0
100996442,11,27,10,8,14,11,9,9,10,18
729737,11,29,11,16,20,20,11,23,5,11
102725121,3,2,1,0,1,1,0,2,1,2
102723897,47,71,49,41,32,45,31,70,45,31
102465909,0,1,1,0,0,0,0,0,0,1
107985721,0,0,0,0,0,0,0,0,0,1
112268260,4,12,1,2,5,2,6,2,3,8
729759,0,0,0,0,0,0,0,0,0,0
100132287,11,37,14,20,20,21,15,34,6,10
105378947,1,2,0,0,2,0,1,0,1,1
101928626,0,1,1,1,0,0,0,0,1,1
113219467,399,591,617,518,372,526,533,357,1018,487
81399,0,1,1,1,1,1,1,0,1,1
100133331,15,46,14,28,21,25,21,40,10,11
107984841,3,14,4,3,3,5,4,6,2,5
107984847,4,16,5,2,4,7,5,4,1,3
107984849,0,2,0,0,1,0,0,0,0,0
100288069,12,26,18,17,19,24,14,21,12,15
105378580,13,18,37,15,24,13,19,19,22,17
400728,8,11,16,7,12,13,9,4,11,10
79854,25,37,26,27,32,26,14,151,18,19
643837,237,110,165,159,216,175,184,206,177,151
107984850,1,0,3,0,1,0,0,0,0,0
284593,2,4,1,1,2,1,2,1,2,4
284600,1,0,0,0,0,1,0,0,0,0
100130417,0,0,0,1,0,0,1,4,0,0
107985728,0,0,0,0,0,0,0,3,0,3
148398,78,96,52,38,48,57,41,34,47,54
26155,734,1008,602,385,604,737,576,188,596,569
339451,73,64,43,16,40,28,19,30,30,42
84069,64,19,9,8,17,37,23,33,40,50
84808,3,1,0,2,2,6,2,11,3,6
57801,77,79,76,34,22,36,33,437,55,50
9636,738,1063,673,618,784,350,496,912,796,441
375790,96,387,315,156,406,380,105,192,73,262
100288175,8,0,3,0,0,1,3,1,2,1
112267874,0,0,0,0,0,0,0,1,0,0
105378948,6,0,2,0,0,1,2,1,2,1
401934,0,0,0,0,0,0,1,2,0,1
54991,183,370,97,109,164,164,117,92,164,114
254099,0,0,0,0,0,0,0,0,0,0
406984,0,0,0,0,0,0,0,0,0,0
406983,0,0,0,0,0,0,0,0,0,0
554210,0,0,0,0,0,0,0,0,0,0
100506376,0,1,0,0,0,1,1,4,0,0
254173,4,2,25,11,13,7,6,23,3,3
8784,52,0,9,1,3,27,50,18,61,55
7293,32,3,50,17,44,26,15,31,37,9
51150,949,1865,1820,808,1675,1572,1060,814,1717,1205
126792,210,431,273,99,150,236,198,91,300,175
388581,1,9,3,1,1,2,1,0,6,3
118424,344,759,569,208,389,469,361,171,661,421
101928895,3,3,3,3,3,6,2,7,3,6
6339,8,65,14,14,18,14,15,55,5,15
116983,231,348,76,73,107,158,98,152,129,164
102465434,0,0,0,0,0,0,0,0,0,0
109623456,0,0,0,0,0,0,0,0,0,0
126789,47,99,100,21,74,59,37,54,66,46
54973,931,1013,894,478,751,908,546,346,874,605
102465435,0,0,2,1,0,1,0,0,0,0
80772,179,328,339,99,352,305,167,162,477,235
83756,7,6,6,4,2,8,3,5,3,3
1855,152,368,147,77,89,145,112,183,118,125
102466740,0,0,0,1,0,1,1,0,0,0
54587,9,19,6,3,11,4,3,16,1,1
54998,680,1021,1022,432,628,706,520,423,892,476
81669,5242,9599,3611,4462,4130,6309,4587,2114,3734,3989
148413,121,159,180,74,157,153,108,109,261,145
55052,620,647,1099,426,575,687,584,462,1059,655
107984868,7,17,8,4,11,8,12,10,15,13
441869,322,237,311,84,279,189,174,251,354,192
105378585,18,7,21,7,19,10,12,31,25,7
643965,0,0,0,0,0,0,0,0,0,1
102724312,45,77,62,29,91,38,47,47,49,33
107985729,46,67,30,5,22,35,23,33,42,19
64856,905,1716,1439,477,2204,1345,910,1243,1133,1088
219293,57,54,35,14,30,37,36,29,23,29
83858,302,764,186,153,272,345,275,229,235,228
55210,207,416,191,96,216,229,167,121,162,207
339453,0,0,0,0,0,0,0,0,0,0
29101,1508,1206,1616,617,1009,1307,1165,612,1969,1285
643988,20,0,0,0,0,8,12,4,18,9
105378586,1,0,0,0,0,1,2,0,2,0
142678,370,460,242,131,238,360,219,239,316,319
8510,10,2,4,2,3,5,1,6,4,3
984,436,816,845,556,429,485,509,317,634,405
728661,149,542,190,181,217,252,175,298,276,299
8511,4,0,2,1,2,2,0,2,2,1
728642,423,756,730,482,354,322,442,325,779,364
9906,80,392,123,127,142,133,149,183,214,167
112268218,18,57,57,38,29,45,24,19,34,28
65220,229,639,597,332,386,656,275,173,415,406
2782,3435,5951,4355,2163,3821,4815,4465,1656,5151,4286
105378949,2,10,1,2,1,0,3,6,4,0
163688,0,0,0,0,0,0,0,0,0,0
339456,5,32,4,5,6,8,5,35,23,8
85452,0,0,0,1,0,0,0,0,0,0
107984872,0,0,0,0,0,0,0,0,0,0
105378589,11,0,4,1,3,0,1,0,4,5
2563,16,0,5,3,11,2,3,2,76,23
105378590,0,0,0,0,0,0,0,0,0,0
105378591,0,0,0,0,0,0,0,1,0,0
5590,62,39,21,5,8,27,37,18,41,36
100506504,5,5,4,1,3,3,1,4,3,3
199990,215,290,355,134,261,227,169,260,294,169
112268219,17,58,19,10,12,15,6,24,10,11
105378593,1,0,2,1,0,2,1,0,0,4
6497,225,674,313,317,373,510,394,451,181,347
79906,79,167,56,30,37,36,26,34,25,41
100129534,6,39,8,5,3,25,9,18,6,11
11079,1069,1331,1648,671,1122,1161,963,395,1722,1205
5192,194,299,235,135,266,228,172,63,293,233
9651,150,23,10,2,2,41,64,34,87,129
55229,251,471,273,124,258,278,208,106,257,262
388585,31,38,36,8,33,32,24,24,56,13
115110,148,252,110,124,144,169,98,295,180,132
8764,1163,2068,1024,876,1061,1261,821,2878,1230,963
100996583,16,34,8,9,20,13,16,11,26,11
127281,271,817,639,265,971,610,427,167,570,587
79258,73,181,86,36,148,114,103,49,126,116
105378597,1,0,0,0,0,0,0,0,0,0
100287898,9,23,2,1,0,6,5,16,0,9
105378603,0,0,0,0,0,0,0,0,0,0
105378602,0,0,0,0,0,0,0,0,0,0
